id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 90.28, hss2:  89.95, cm: [[897, 78], [15, 859]])","Metric(tss: 78.40, hss2:  18.44, cm: [[253980, 37124], [489, 5037]])"
"train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 90.28, hss2:  89.95, cm: [[897, 78], [15, 859]])","Metric(tss: 78.40, hss2:  18.44, cm: [[253980, 37124], [489, 5037]])"
"train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 49.94, hss2:  50.48, cm: [[2202, 218], [234, 336]])","Metric(tss: 41.35, hss2:  9.07, cm: [[276980, 47971], [2736, 3498]])"
"train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 82.94, hss2:  58.86, cm: [[3526, 433], [27, 414]])","Metric(tss: 80.56, hss2:  20.98, cm: [[288354, 36597], [510, 5724]])"
"train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 86.49, hss2:  85.72, cm: [[1407, 201], [14, 1378]])","Metric(tss: 42.12, hss2:  2.67, cm: [[136864, 188087], [0, 6234]])"
"train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 68.31, hss2:  60.73, cm: [[1440, 622], [17, 1097]])","Metric(tss: 58.39, hss2:  5.19, cm: [[194520, 130431], [92, 6142]])"
"train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 36.49, hss2:  43.46, cm: [[140, 231], [10, 794]])","Metric(tss: 21.71, hss2:  1.05, cm: [[74181, 250770], [70, 6164]])"
"train(n)[3200, 600]__batchNone_model[16, 64, 16][16, 32]_None_do[0.2, 0.4]_lr[0.01]_binary",0,,,"[3200, 600]","[16, 64, 16]","[16, 32]","[0.2, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 83.54, hss2:  67.72, cm: [[2555, 325], [27, 495]])","Metric(tss: 78.80, hss2:  20.95, cm: [[259430, 31674], [570, 4956]])"
"train(k)[400, 1000]__batchNone_model[128, 32, 32][64, 32]_avg_do[0.4, 0.0]_lr[0.01]_binary",0,,"[400, 1000]",,"[128, 32, 32]","[64, 32]","[0.4, 0.0]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 86.04, hss2:  85.72, cm: [[359, 38], [43, 936]])","Metric(tss: 60.15, hss2:  5.40, cm: [[196128, 128823], [13, 6221]])"
"train(k)[4000, 1200]__batch1024_model[64, 128, 64][8, 0]_avg_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,1024.0,"[4000, 1200]",,"[64, 128, 64]","[8, 0]","[0.6000000000000001, 0.4]",avg,,0.01,"Metric(tss: 87.34, hss2:  79.33, cm: [[3592, 373], [38, 1131]])","Metric(tss: 70.03, hss2:  17.72, cm: [[286305, 38646], [1127, 5107]])"
"train(n)[3600, 1200]__batch1024_model[32, 64, 16][16, 16]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,,"[3600, 1200]","[32, 64, 16]","[16, 16]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 83.76, hss2:  73.45, cm: [[3124, 509], [26, 1141]])","Metric(tss: 59.79, hss2:  5.32, cm: [[194743, 130208], [9, 6225]])"
"train(n)[2000, 600]__batchNone_model[16, 16, 64][32, 0]_None_do[0.2, 0.0]_lr[0.01]_binary",0,,,"[2000, 600]","[16, 16, 64]","[32, 0]","[0.2, 0.0]",,"[0.2, 0.8]",0.01,"Metric(tss: 89.20, hss2:  81.60, cm: [[1647, 149], [13, 506]])","Metric(tss: 70.29, hss2:  27.00, cm: [[271771, 19333], [1275, 4251]])"
"train(n)[3600, 800]__batch128_model[16, 64, 128][8, 0]_None_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,128.0,,"[3600, 800]","[16, 64, 128]","[8, 0]","[0.4, 0.6000000000000001]",,"[0.4, 0.6]",0.01,"Metric(tss: 84.69, hss2:  69.65, cm: [[2821, 407], [19, 684]])","Metric(tss: 77.84, hss2:  27.57, cm: [[269741, 21363], [819, 4707]])"
"train(k)[400, 800]__batch128_model[128, 64, 32][8, 32]_0_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,128.0,"[400, 800]",,"[128, 64, 32]","[8, 32]","[0.6000000000000001, 0.0]",0,,0.01,"Metric(tss: 69.63, hss2:  67.49, cm: [[343, 62], [116, 654]])","Metric(tss: 63.60, hss2:  11.09, cm: [[263679, 61272], [1094, 5140]])"
"train(n)[3200, 800]__batchNone_model[32, 32, 16][8, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,,,"[3200, 800]","[32, 32, 16]","[8, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 83.47, hss2:  68.18, cm: [[2728, 482], [12, 778]])","Metric(tss: 60.11, hss2:  6.06, cm: [[211281, 113670], [306, 5928]])"
"train(n)[800, 1400]__batch128_model[16, 32, 32][32, 16]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,,"[800, 1400]","[16, 32, 32]","[32, 16]","[0.6000000000000001, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 74.30, hss2:  77.56, cm: [[558, 176], [21, 1199]])","Metric(tss: 80.77, hss2:  23.13, cm: [[262516, 28588], [520, 5006]])"
"train(k)[2000, 1200]__batchNone_model[128, 64, 64][8, 8]_0_do[0.0, 0.0]_lr[0.01]_binary",0,,"[2000, 1200]",,"[128, 64, 64]","[8, 8]","[0.0, 0.0]",0,"[0.3, 0.7]",0.01,"Metric(tss: 79.81, hss2:  74.80, cm: [[1666, 370], [23, 1117]])","Metric(tss: 67.83, hss2:  7.86, cm: [[227821, 97130], [142, 6092]])"
"train(n)[3600, 1400]__batch1024_model[32, 32, 32][8, 8]_avg_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,,"[3600, 1400]","[32, 32, 32]","[8, 8]","[0.6000000000000001, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 83.01, hss2:  75.72, cm: [[3090, 495], [45, 1370]])","Metric(tss: 79.15, hss2:  16.72, cm: [[277102, 47849], [382, 5852]])"
"train(n)[800, 600]__batch128_model[32, 32, 64][16, 32]_0_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,,"[800, 600]","[32, 32, 64]","[16, 32]","[0.4, 0.4]",0,,0.01,"Metric(tss: 87.25, hss2:  86.17, cm: [[722, 78], [18, 582]])","Metric(tss: 80.49, hss2:  20.11, cm: [[286306, 38645], [475, 5759]])"
"train(n)[1200, 400]__batch1024_model[16, 128, 32][32, 8]_None_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[1200, 400]","[16, 128, 32]","[32, 8]","[0.4, 0.2]",,"[0.3, 0.7]",0.01,"Metric(tss: 86.55, hss2:  78.15, cm: [[954, 120], [8, 343]])","Metric(tss: 79.20, hss2:  25.54, cm: [[266741, 24363], [687, 4839]])"
"train(n)[3200, 1400]__batchNone_model[32, 16, 32][16, 16]_avg_do[0.0, 0.0]_lr[0.01]_binary",0,,,"[3200, 1400]","[32, 16, 32]","[16, 16]","[0.0, 0.0]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 90.73, hss2:  87.47, cm: [[2982, 219], [34, 1365]])","Metric(tss: 50.14, hss2:  8.34, cm: [[259410, 65541], [1851, 4383]])"
"train(n)[2000, 400]__batchNone_model[64, 64, 32][64, 32]_None_do[0.0, 0.4]_lr[0.01]_binary",0,,,"[2000, 400]","[64, 64, 32]","[64, 32]","[0.0, 0.4]",,"[0.4, 0.6]",0.01,"Metric(tss: 86.94, hss2:  72.05, cm: [[1650, 178], [11, 320]])","Metric(tss: 71.07, hss2:  30.31, cm: [[274671, 16433], [1287, 4239]])"
"train(k)[1600, 1400]__batch128_model[128, 64, 128][32, 0]_avg_do[0.0, 0.4]_lr[0.01]_binary",0,128.0,"[1600, 1400]",,"[128, 64, 128]","[32, 0]","[0.0, 0.4]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 69.14, hss2:  67.34, cm: [[1151, 451], [36, 1292]])","Metric(tss: 60.50, hss2:  5.91, cm: [[207390, 117561], [207, 6027]])"
"train(k)[3200, 1000]__batch1024_model[128, 16, 32][16, 8]_0_do[0.2, 0.0]_lr[0.01]_binary",0,1024.0,"[3200, 1000]",,"[128, 16, 32]","[16, 8]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 91.16, hss2:  84.07, cm: [[2904, 254], [8, 990]])","Metric(tss: 66.61, hss2:  9.61, cm: [[248967, 75984], [624, 5610]])"
"train(n)[4000, 200]__batch128_model[32, 32, 32][8, 0]_None_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,128.0,,"[4000, 200]","[32, 32, 32]","[8, 0]","[0.2, 0.6000000000000001]",,"[0.2, 0.8]",0.01,"Metric(tss: 83.80, hss2:  45.25, cm: [[3221, 352], [12, 177]])","Metric(tss: 60.09, hss2:  33.96, cm: [[280431, 10673], [2003, 3523]])"
"train(n)[2400, 1200]__batchNone_model[128, 64, 64][32, 8]_None_do[0.0, 0.0]_lr[0.01]_binary",0,,,"[2400, 1200]","[128, 64, 64]","[32, 8]","[0.0, 0.0]",,"[0.4, 0.6]",0.01,"Metric(tss: 83.69, hss2:  79.93, cm: [[1915, 246], [52, 1003]])","Metric(tss: 54.83, hss2:  7.05, cm: [[213724, 77380], [1027, 4499]])"
"train(n)[2400, 200]__batch128_model[16, 128, 16][16, 16]_0_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,128.0,,"[2400, 200]","[16, 128, 16]","[16, 16]","[0.6000000000000001, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 33.89, hss2:  33.19, cm: [[2247, 139], [129, 85]])","Metric(tss: 35.16, hss2:  14.89, cm: [[304002, 20949], [3640, 2594]])"
"train(n)[2400, 1200]__batchNone_model[16, 128, 128][16, 16]_0_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,,,"[2400, 1200]","[16, 128, 128]","[16, 16]","[0.6000000000000001, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 86.09, hss2:  82.06, cm: [[2164, 261], [37, 1138]])","Metric(tss: 60.16, hss2:  5.48, cm: [[197941, 127010], [47, 6187]])"
"train(k)[3200, 1200]__batchNone_model[128, 128, 32][16, 0]_0_do[0.2, 0.2]_lr[0.01]_binary",0,,"[3200, 1200]",,"[128, 128, 32]","[16, 0]","[0.2, 0.2]",0,,0.01,"Metric(tss: 85.28, hss2:  78.63, cm: [[2820, 357], [41, 1136]])","Metric(tss: 78.50, hss2:  13.37, cm: [[262860, 62091], [149, 6085]])"
"train(n)[4000, 1000]__batch1024_model[128, 64, 16][8, 0]_None_do[0.0, 0.4]_lr[0.01]_binary",0,1024.0,,"[4000, 1000]","[128, 64, 16]","[8, 0]","[0.0, 0.4]",,"[0.4, 0.6]",0.01,"Metric(tss: 67.95, hss2:  63.85, cm: [[3201, 351], [198, 695]])","Metric(tss: 53.47, hss2:  8.13, cm: [[226882, 64222], [1352, 4174]])"
"train(n)[2000, 1200]__batchNone_model[64, 128, 32][8, 0]_None_do[0.4, 0.4]_lr[0.01]_binary",0,,,"[2000, 1200]","[64, 128, 32]","[8, 0]","[0.4, 0.4]",,"[0.4, 0.6]",0.01,"Metric(tss: 83.29, hss2:  80.03, cm: [[1593, 232], [41, 985]])","Metric(tss: 78.89, hss2:  25.59, cm: [[266939, 24165], [708, 4818]])"
"train(k)[4000, 600]__batch128_model[16, 64, 32][16, 8]_0_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,"[4000, 600]",,"[16, 64, 32]","[16, 8]","[0.6000000000000001, 0.4]",0,"[0.2, 0.8]",0.01,"Metric(tss: 84.54, hss2:  62.58, cm: [[3485, 501], [17, 571]])","Metric(tss: 76.35, hss2:  11.62, cm: [[254046, 70905], [114, 6120]])"
"train(k)[4000, 600]__batch1024_model[64, 128, 128][64, 32]_0_do[0.0, 0.2]_lr[0.01]_binary",0,1024.0,"[4000, 600]",,"[64, 128, 128]","[64, 32]","[0.0, 0.2]",0,"[0.3, 0.7]",0.01,"Metric(tss: 84.88, hss2:  64.88, cm: [[3584, 428], [25, 537]])","Metric(tss: 78.70, hss2:  14.04, cm: [[266226, 58725], [201, 6033]])"
"train(k)[2000, 800]__batch1024_model[64, 64, 64][32, 16]_0_do[0.2, 0.2]_lr[0.01]_binary",0,1024.0,"[2000, 800]",,"[64, 64, 64]","[32, 16]","[0.2, 0.2]",0,,0.01,"Metric(tss: 87.03, hss2:  80.44, cm: [[1790, 222], [15, 761]])","Metric(tss: 79.10, hss2:  14.22, cm: [[266787, 58164], [187, 6047]])"
"train(k)[2000, 200]__batch1024_model[32, 32, 16][64, 0]_None_do[0.0, 0.4]_lr[0.01]_binary",0,1024.0,"[2000, 200]",,"[32, 32, 16]","[64, 0]","[0.0, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 88.59, hss2:  63.12, cm: [[1484, 159], [3, 170]])","Metric(tss: 69.12, hss2:  30.89, cm: [[275748, 15356], [1415, 4111]])"
"train(n)[1600, 1400]__batchNone_model[32, 32, 32][32, 16]_0_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,,,"[1600, 1400]","[32, 32, 32]","[32, 16]","[0.6000000000000001, 0.2]",0,,0.01,"Metric(tss: 85.13, hss2:  84.98, cm: [[1442, 137], [88, 1333]])","Metric(tss: 61.70, hss2:  5.74, cm: [[200968, 123983], [9, 6225]])"
"train(k)[1200, 400]__batch1024_model[16, 16, 32][16, 8]_0_do[0.0, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[1200, 400]",,"[16, 16, 32]","[16, 8]","[0.0, 0.6000000000000001]",0,"[0.2, 0.8]",0.01,"Metric(tss: 87.60, hss2:  78.78, cm: [[1071, 134], [5, 385]])","Metric(tss: 46.59, hss2:  3.20, cm: [[152448, 172503], [20, 6214]])"
"train(k)[2400, 1200]__batch1024_model[16, 128, 32][32, 0]_0_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[2400, 1200]",,"[16, 128, 32]","[32, 0]","[0.6000000000000001, 0.6000000000000001]",0,"[0.3, 0.7]",0.01,"Metric(tss: 88.78, hss2:  84.81, cm: [[2132, 238], [14, 1176]])","Metric(tss: 72.86, hss2:  13.54, cm: [[268658, 56293], [612, 5622]])"
"train(n)[2400, 1200]__batch128_model[64, 32, 64][64, 32]_avg_do[0.2, 0.0]_lr[0.01]_binary",0,128.0,,"[2400, 1200]","[64, 32, 64]","[64, 32]","[0.2, 0.0]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 88.46, hss2:  84.93, cm: [[2176, 225], [26, 1173]])","Metric(tss: 40.51, hss2:  3.62, cm: [[194203, 130748], [1200, 5034]])"
"train(k)[2000, 800]__batchNone_model[64, 64, 16][32, 0]_None_do[0.0, 0.2]_lr[0.01]_binary",0,,"[2000, 800]",,"[64, 64, 16]","[32, 0]","[0.0, 0.2]",,"[0.4, 0.6]",0.01,"Metric(tss: 90.97, hss2:  87.45, cm: [[1482, 118], [12, 711]])","Metric(tss: 74.05, hss2:  25.73, cm: [[268937, 22167], [1013, 4513]])"
"train(n)[1600, 1000]__batch128_model[16, 32, 16][64, 8]_avg_do[0.0, 0.2]_lr[0.01]_binary",0,128.0,,"[1600, 1000]","[16, 32, 16]","[64, 8]","[0.0, 0.2]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 83.20, hss2:  80.87, cm: [[1406, 197], [45, 952]])","Metric(tss: 81.28, hss2:  19.28, cm: [[283709, 41242], [376, 5858]])"
"train(k)[3200, 400]__batch128_model[64, 16, 128][8, 32]_avg_do[0.4, 0.0]_lr[0.01]_binary",0,128.0,"[3200, 400]",,"[64, 16, 128]","[8, 32]","[0.4, 0.0]",avg,,0.01,"Metric(tss: 68.89, hss2:  61.04, cm: [[2977, 211], [96, 296]])","Metric(tss: 59.62, hss2:  19.54, cm: [[296893, 28058], [1979, 4255]])"
"train(k)[800, 400]__batchNone_model[128, 64, 32][16, 32]_0_do[0.2, 0.2]_lr[0.01]_binary",0,,"[800, 400]",,"[128, 64, 32]","[16, 32]","[0.2, 0.2]",0,,0.01,"Metric(tss: 89.12, hss2:  86.24, cm: [[750, 64], [12, 386]])","Metric(tss: 45.44, hss2:  3.16, cm: [[154655, 170296], [134, 6100]])"
"train(n)[2000, 800]__batch1024_model[64, 64, 128][8, 32]_avg_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,,"[2000, 800]","[64, 64, 128]","[8, 32]","[0.0, 0.0]",avg,,0.01,"Metric(tss: 67.76, hss2:  67.43, cm: [[1847, 188], [176, 589]])","Metric(tss: 64.11, hss2:  18.13, cm: [[291113, 33838], [1588, 4646]])"
"train(k)[1600, 400]__batch1024_model[32, 64, 16][64, 0]_None_do[0.0, 0.4]_lr[0.01]_binary",0,1024.0,"[1600, 400]",,"[32, 64, 16]","[64, 0]","[0.0, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 85.38, hss2:  73.34, cm: [[1166, 164], [8, 342]])","Metric(tss: 80.26, hss2:  24.16, cm: [[264356, 26748], [583, 4943]])"
"train(n)[4000, 200]__batch128_model[64, 64, 32][64, 0]_None_do[0.2, 0.0]_lr[0.01]_binary",0,128.0,,"[4000, 200]","[64, 64, 32]","[64, 0]","[0.2, 0.0]",,"[0.3, 0.7]",0.01,"Metric(tss: 82.71, hss2:  44.62, cm: [[3227, 349], [14, 172]])","Metric(tss: 53.76, hss2:  34.11, cm: [[282230, 8874], [2387, 3139]])"
"train(k)[2000, 400]__batch128_model[64, 16, 16][64, 0]_None_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[2000, 400]",,"[64, 16, 16]","[64, 0]","[0.4, 0.6000000000000001]",,"[0.4, 0.6]",0.01,"Metric(tss: 85.23, hss2:  70.11, cm: [[1435, 199], [9, 338]])","Metric(tss: 80.20, hss2:  25.99, cm: [[266973, 24131], [636, 4890]])"
"train(k)[800, 200]__batch1024_model[64, 64, 64][64, 0]_avg_do[0.0, 0.4]_lr[0.01]_binary",0,1024.0,"[800, 200]",,"[64, 64, 64]","[64, 0]","[0.0, 0.4]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 86.59, hss2:  78.97, cm: [[727, 62], [11, 187]])","Metric(tss: 48.39, hss2:  6.65, cm: [[243511, 81440], [1655, 4579]])"
"train(n)[400, 1000]__batch1024_model[32, 16, 32][32, 0]_0_do[0.2, 0.2]_lr[0.01]_binary",0,1024.0,,"[400, 1000]","[32, 16, 32]","[32, 0]","[0.2, 0.2]",0,"[0.2, 0.8]",0.01,"Metric(tss: 79.49, hss2:  81.17, cm: [[348, 69], [39, 944]])","Metric(tss: 76.20, hss2:  19.22, cm: [[286514, 38437], [746, 5488]])"
"train(n)[2400, 1200]__batchNone_model[32, 128, 32][8, 32]_None_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,,,"[2400, 1200]","[32, 128, 32]","[8, 32]","[0.6000000000000001, 0.2]",,"[0.4, 0.6]",0.01,"Metric(tss: 79.07, hss2:  75.89, cm: [[1912, 261], [93, 950]])","Metric(tss: 74.05, hss2:  23.23, cm: [[265504, 25600], [948, 4578]])"
"train(k)[2400, 200]__batch128_model[16, 16, 32][32, 0]_0_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,"[2400, 200]",,"[16, 16, 32]","[32, 0]","[0.4, 0.4]",0,,0.01,"Metric(tss: 85.79, hss2:  54.85, cm: [[2173, 242], [8, 183]])","Metric(tss: 78.87, hss2:  16.07, cm: [[274910, 50041], [357, 5877]])"
"train(n)[3200, 1200]__batchNone_model[128, 32, 32][8, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,,,"[3200, 1200]","[128, 32, 32]","[8, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 66.03, hss2:  52.08, cm: [[2265, 989], [41, 1105]])","Metric(tss: 59.87, hss2:  5.94, cm: [[209240, 115711], [282, 5952]])"
"train(k)[2800, 600]__batch128_model[64, 64, 128][8, 16]_avg_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,"[2800, 600]",,"[64, 64, 128]","[8, 16]","[0.6000000000000001, 0.4]",avg,,0.01,"Metric(tss: 84.29, hss2:  70.42, cm: [[2474, 321], [25, 567]])","Metric(tss: 76.13, hss2:  13.17, cm: [[263847, 61104], [316, 5918]])"
"train(k)[4000, 800]__batch128_model[128, 32, 64][64, 0]_None_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[4000, 800]",,"[128, 32, 64]","[64, 0]","[0.6000000000000001, 0.6000000000000001]",,"[0.4, 0.6]",0.01,"Metric(tss: 83.06, hss2:  70.15, cm: [[2846, 383], [37, 691]])","Metric(tss: 80.17, hss2:  22.31, cm: [[261359, 29745], [531, 4995]])"
"train(k)[2000, 400]__batch1024_model[128, 64, 64][32, 8]_0_do[0.0, 0.2]_lr[0.01]_binary",0,1024.0,"[2000, 400]",,"[128, 64, 64]","[32, 8]","[0.0, 0.2]",0,"[0.4, 0.6]",0.01,"Metric(tss: 85.97, hss2:  69.80, cm: [[1755, 233], [9, 380]])","Metric(tss: 78.41, hss2:  13.71, cm: [[264761, 60190], [191, 6043]])"
"train(k)[800, 600]__batch1024_model[128, 128, 64][16, 0]_avg_do[0.2, 0.4]_lr[0.01]_binary",0,1024.0,"[800, 600]",,"[128, 128, 64]","[16, 0]","[0.2, 0.4]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 90.55, hss2:  89.22, cm: [[734, 69], [5, 579]])","Metric(tss: 71.83, hss2:  9.26, cm: [[238949, 86002], [106, 6128]])"
"train(n)[3600, 1200]__batch1024_model[64, 128, 64][64, 8]_avg_do[0.2, 0.4]_lr[0.01]_binary",0,1024.0,,"[3600, 1200]","[64, 128, 64]","[64, 8]","[0.2, 0.4]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 89.38, hss2:  81.91, cm: [[3274, 338], [15, 1173]])","Metric(tss: 64.09, hss2:  6.56, cm: [[213379, 111572], [98, 6136]])"
"train(k)[4000, 800]__batch1024_model[128, 128, 32][64, 8]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,"[4000, 800]",,"[128, 128, 32]","[64, 8]","[0.4, 0.2]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 90.10, hss2:  76.80, cm: [[3604, 358], [7, 800]])","Metric(tss: 71.92, hss2:  9.96, cm: [[245605, 79346], [228, 6006]])"
"train(n)[400, 200]__batch128_model[32, 16, 16][64, 32]_0_do[0.4, 0.0]_lr[0.01]_binary",0,128.0,,"[400, 200]","[32, 16, 16]","[64, 32]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 85.55, hss2:  81.03, cm: [[355, 48], [5, 192]])","Metric(tss: 72.55, hss2:  18.90, cm: [[287876, 37075], [1000, 5234]])"
"train(n)[4000, 400]__batch1024_model[64, 16, 32][16, 0]_avg_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,1024.0,,"[4000, 400]","[64, 16, 32]","[16, 0]","[0.6000000000000001, 0.0]",avg,,0.01,"Metric(tss: 82.78, hss2:  53.46, cm: [[3444, 534], [16, 406]])","Metric(tss: 56.22, hss2:  5.79, cm: [[213602, 111349], [593, 5641]])"
"train(n)[400, 400]__batch1024_model[64, 128, 32][8, 0]_None_do[0.4, 0.0]_lr[0.01]_binary",0,1024.0,,"[400, 400]","[64, 128, 32]","[8, 0]","[0.4, 0.0]",,"[0.2, 0.8]",0.01,"Metric(tss: 85.22, hss2:  85.36, cm: [[309, 39], [13, 351]])","Metric(tss: 75.83, hss2:  12.85, cm: [[235613, 55491], [282, 5244]])"
"train(n)[2800, 1200]__batch1024_model[128, 16, 128][16, 32]_None_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,,"[2800, 1200]","[128, 16, 128]","[16, 32]","[0.0, 0.0]",,"[0.4, 0.6]",0.01,"Metric(tss: 84.66, hss2:  80.25, cm: [[2239, 260], [53, 1021]])","Metric(tss: 66.10, hss2:  23.79, cm: [[269602, 21502], [1465, 4061]])"
"train(k)[2400, 600]__batchNone_model[16, 64, 32][32, 8]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,,"[2400, 600]",,"[16, 64, 32]","[32, 8]","[0.4, 0.2]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 84.62, hss2:  72.88, cm: [[2110, 280], [22, 578]])","Metric(tss: 77.86, hss2:  13.27, cm: [[262905, 62046], [190, 6044]])"
"train(k)[800, 600]__batch1024_model[128, 64, 64][64, 8]_avg_do[0.2, 0.2]_lr[0.01]_binary",0,1024.0,"[800, 600]",,"[128, 64, 64]","[64, 8]","[0.2, 0.2]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 89.75, hss2:  88.65, cm: [[726, 68], [10, 583]])","Metric(tss: 64.48, hss2:  6.69, cm: [[215001, 109950], [105, 6129]])"
"train(n)[4000, 1200]__batchNone_model[64, 128, 128][32, 8]_0_do[0.0, 0.0]_lr[0.01]_binary",0,,,"[4000, 1200]","[64, 128, 128]","[32, 8]","[0.0, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 90.10, hss2:  84.18, cm: [[3693, 283], [34, 1190]])","Metric(tss: 58.90, hss2:  5.70, cm: [[205926, 119025], [279, 5955]])"
"train(k)[2400, 1200]__batch1024_model[32, 16, 16][16, 0]_None_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,"[2400, 1200]",,"[32, 16, 16]","[16, 0]","[0.0, 0.0]",,"[0.3, 0.7]",0.01,"Metric(tss: 87.63, hss2:  84.05, cm: [[1734, 211], [16, 1036]])","Metric(tss: 79.02, hss2:  24.05, cm: [[264695, 26409], [658, 4868]])"
"train(k)[2800, 800]__batchNone_model[32, 64, 16][32, 16]_avg_do[0.4, 0.4]_lr[0.01]_binary",0,,"[2800, 800]",,"[32, 64, 16]","[32, 16]","[0.4, 0.4]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 85.79, hss2:  75.02, cm: [[2472, 330], [19, 762]])","Metric(tss: 79.49, hss2:  14.29, cm: [[266803, 58148], [163, 6071]])"
