id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[1600, 1400]__batch128_model[64, 16, 16][16, 32]_0_do[0.2, 0.0]_lr[0.01]_binary",0,128.0,"[1600, 1400]",,"[64, 16, 16]","[16, 32]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 91.03, hss2:  90.59, cm: [[1434, 125], [13, 1358]])","Metric(tss: 41.43, hss2:  2.63, cm: [[137070, 187881], [47, 6187]])"
"train(k)[3200, 1400]__batch128_model[16, 128, 128][16, 32]_None_do[0.2, 0.0]_lr[0.01]_binary",0,128.0,"[3200, 1400]",,"[16, 128, 128]","[16, 32]","[0.2, 0.0]",,"[0.4, 0.6]",0.01,"Metric(tss: 91.64, hss2:  88.42, cm: [[2406, 185], [15, 1213]])","Metric(tss: 74.53, hss2:  23.91, cm: [[266317, 24787], [937, 4589]])"
"train(k)[2000, 600]__batch1024_model[32, 16, 16][8, 8]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[2000, 600]",,"[32, 16, 16]","[8, 8]","[0.2, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 34.66, hss2:  41.53, cm: [[1927, 85], [352, 224]])","Metric(tss: 27.10, hss2:  11.34, cm: [[303169, 21782], [4127, 2107]])"
"train(n)[2000, 200]__batch1024_model[128, 128, 16][8, 8]_None_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,1024.0,,"[2000, 200]","[128, 128, 16]","[8, 8]","[0.6000000000000001, 0.2]",,"[0.3, 0.7]",0.01,"Metric(tss: 86.40, hss2:  57.17, cm: [[1572, 214], [3, 182]])","Metric(tss: 71.58, hss2:  32.36, cm: [[276161, 14943], [1287, 4239]])"
"train(k)[2000, 200]__batch1024_model[128, 16, 128][32, 8]_None_do[0.4, 0.4]_lr[0.01]_binary",0,1024.0,"[2000, 200]",,"[128, 16, 128]","[32, 8]","[0.4, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 87.81, hss2:  58.13, cm: [[1441, 200], [0, 175]])","Metric(tss: 73.87, hss2:  28.67, cm: [[272258, 18846], [1086, 4440]])"
"train(k)[3600, 200]__batch128_model[128, 128, 128][32, 0]_avg_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,"[3600, 200]",,"[128, 128, 128]","[32, 0]","[0.4, 0.4]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 14.02, hss2:  17.99, cm: [[3511, 74], [167, 32]])","Metric(tss: 15.65, hss2:  11.53, cm: [[315337, 9614], [5074, 1160]])"
"train(n)[800, 400]__batch1024_model[64, 16, 32][8, 32]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[800, 400]","[64, 16, 32]","[8, 32]","[0.4, 0.2]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 86.52, hss2:  82.94, cm: [[747, 76], [16, 361]])","Metric(tss: 75.21, hss2:  21.59, cm: [[292465, 32486], [922, 5312]])"
"train(n)[1600, 400]__batch1024_model[16, 64, 64][16, 32]_0_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,,"[1600, 400]","[16, 64, 64]","[16, 32]","[0.0, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 84.15, hss2:  72.59, cm: [[1391, 194], [15, 400]])","Metric(tss: 78.98, hss2:  24.99, cm: [[296723, 28228], [769, 5465]])"
"train(n)[400, 1000]__batchNone_model[32, 32, 128][32, 16]_avg_do[0.0, 0.0]_lr[0.01]_binary",0,,,"[400, 1000]","[32, 32, 128]","[32, 16]","[0.0, 0.0]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 84.01, hss2:  86.84, cm: [[336, 57], [15, 992]])","Metric(tss:  1.23, hss2:  0.05, cm: [[4012, 320939], [0, 6234]])"
"train(k)[2400, 200]__batch128_model[16, 64, 32][16, 8]_0_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[2400, 200]",,"[16, 64, 32]","[16, 8]","[0.4, 0.6000000000000001]",0,"[0.2, 0.8]",0.01,"Metric(tss: 34.25, hss2:  33.32, cm: [[2254, 140], [127, 85]])","Metric(tss: 33.39, hss2:  10.93, cm: [[295228, 29723], [3582, 2652]])"
"train(n)[3200, 400]__batchNone_model[16, 16, 32][8, 16]_avg_do[0.0, 0.0]_lr[0.01]_binary",0,,,"[3200, 400]","[16, 16, 32]","[8, 16]","[0.0, 0.0]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 83.28, hss2:  62.89, cm: [[2897, 314], [27, 362]])","Metric(tss: 36.91, hss2:  22.24, cm: [[312867, 12084], [3701, 2533]])"
"train(n)[2000, 600]__batch1024_model[128, 32, 32][32, 0]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,1024.0,,"[2000, 600]","[128, 32, 32]","[32, 0]","[0.6000000000000001, 0.4]",,"[0.4, 0.6]",0.01,"Metric(tss: 85.32, hss2:  75.15, cm: [[1575, 215], [14, 511]])","Metric(tss: 80.12, hss2:  25.94, cm: [[266935, 24169], [640, 4886]])"
"train(k)[2000, 200]__batch128_model[16, 128, 16][16, 0]_avg_do[0.2, 0.4]_lr[0.01]_binary",0,128.0,"[2000, 200]",,"[16, 128, 16]","[16, 0]","[0.2, 0.4]",avg,,0.01,"Metric(tss: 63.77, hss2:  41.42, cm: [[1810, 236], [41, 125]])","Metric(tss: 56.83, hss2:  10.07, cm: [[264369, 60582], [1529, 4705]])"
"train(n)[3600, 800]__batch128_model[64, 32, 128][64, 0]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,128.0,,"[3600, 800]","[64, 32, 128]","[64, 0]","[0.4, 0.2]",avg,,0.01,"Metric(tss: 88.68, hss2:  79.39, cm: [[3298, 279], [29, 794]])","Metric(tss: 56.50, hss2:  6.35, cm: [[223786, 101165], [771, 5463]])"
"train(n)[400, 400]__batch128_model[128, 16, 16][8, 8]_None_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,128.0,,"[400, 400]","[128, 16, 16]","[8, 8]","[0.6000000000000001, 0.0]",,"[0.2, 0.8]",0.01,"Metric(tss: 86.11, hss2:  85.97, cm: [[326, 38], [12, 336]])","Metric(tss: 77.39, hss2:  12.92, cm: [[234716, 56388], [179, 5347]])"
