id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(n)[1200, 300, 400, 160]__batch128_model[64, 16, 16][16, 16]_avg_do[0.0, 0.4]_lr[0.01]_multi",0,128.0,,"[1200, 300, 400, 160]","[64, 16, 16]","[16, 16]","[0.0, 0.4]",avg,,0.01,"Metric(avg tss:  50.93, tss: [  75.87    7.57   65.97   54.30],hss2: [  76.81   11.57   52.76   59.56] cm: [[1128, 14, 65, 0], [133, 28, 154, 4], [17, 7, 303, 37], [0, 0, 74, 96]])","Metric(avg tss:  15.91, tss: [  36.87   -0.05   22.79    4.03],hss2: [  17.59   -0.09    1.39    0.14] cm: [[113950, 176, 143063, 17053], [2654, 5, 35987, 12063], [9, 0, 4434, 1246], [0, 0, 473, 72]])"
"train(k)[800, 900, 400, 40]__batchNone_model[16, 64, 64][16, 32]_avg_do[0.6000000000000001, 0.4]_lr[0.01]_multi",0,,"[800, 900, 400, 40]",,"[16, 64, 64]","[16, 32]","[0.6000000000000001, 0.4]",avg,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  43.52, tss: [  66.42   40.16   67.50    0.00],hss2: [  65.69   41.83   55.35    0.00] cm: [[645, 108, 43, 0], [192, 474, 219, 0], [3, 59, 350, 0], [0, 0, 38, 0]])","Metric(avg tss:  11.27, tss: [  15.06  -16.84   46.87    0.00],hss2: [   5.75   -9.06    3.92    0.00] cm: [[41627, 139295, 93320, 0], [66, 16805, 33838, 0], [0, 792, 4897, 0], [0, 95, 450, 0]])"
"train(k)[1200, 1200, 600, 80]__batch1024_model[64, 128, 16][64, 16]_None_do[0.0, 0.6000000000000001]_lr[0.01]_multi",0,1024.0,"[1200, 1200, 600, 80]",,"[64, 128, 16]","[64, 16]","[0.0, 0.6000000000000001]",,,0.01,"Metric(avg tss:  0.49, tss: [   4.22   -2.26    0.00    0.00],hss2: [   4.71   -1.93    0.00    0.00] cm: [[201, 813, 0, 0], [199, 873, 0, 0], [53, 466, 0, 0], [3, 40, 0, 0]])","Metric(avg tss:  7.37, tss: [  15.69   10.82    3.04   -0.07],hss2: [   7.64    4.82    4.09   -0.09] cm: [[91297, 151666, 1017, 44], [11051, 34640, 1229, 160], [375, 4542, 195, 7], [0, 407, 0, 0]])"
"train(n)[1200, 900, 400, 120]__batchNone_model[128, 64, 64][64, 8]_avg_do[0.2, 0.4]_lr[0.01]_multi",0,,,"[1200, 900, 400, 120]","[128, 64, 64]","[64, 8]","[0.2, 0.4]",avg,,0.01,"Metric(avg tss:  56.69, tss: [  68.29   39.13   51.53   67.78],hss2: [  68.02   40.97   50.48   51.21] cm: [[1029, 162, 13, 1], [237, 477, 141, 36], [5, 86, 245, 73], [0, 1, 31, 83]])","Metric(avg tss:  32.69, tss: [  52.98    0.47   48.67   28.64],hss2: [  29.96    0.45    5.77    1.65] cm: [[160632, 48020, 55401, 10189], [3178, 8956, 31800, 6775], [6, 189, 4299, 1195], [3, 0, 356, 186]])"
"train(k)[800, 1200, 800, 120]__batchNone_model[128, 64, 128][8, 8]_0_do[0.4, 0.4]_lr[0.01]_multi",0,,"[800, 1200, 800, 120]",,"[128, 64, 128]","[8, 8]","[0.4, 0.4]",0,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  11.37, tss: [  20.81    0.49   14.34    9.83],hss2: [  24.70    0.47   14.99    4.52] cm: [[234, 489, 67, 31], [140, 609, 305, 131], [20, 349, 271, 157], [0, 36, 42, 21]])","Metric(avg tss:  16.80, tss: [  25.51   -4.39   25.51   20.56],hss2: [  11.17   -2.10    5.91    1.85] cm: [[86298, 156463, 25595, 5886], [3247, 26566, 16191, 4705], [126, 2485, 2183, 895], [17, 301, 96, 131]])"
"train(k)[1600, 600, 600, 160]__batch1024_model[32, 128, 16][32, 8]_avg_do[0.6000000000000001, 0.2]_lr[0.01]_multi",0,1024.0,"[1600, 600, 600, 160]",,"[32, 128, 16]","[32, 8]","[0.6000000000000001, 0.2]",avg,"[0.1, 0.1, 0.2, 0.6]",0.01,"Metric(avg tss:  56.33, tss: [  67.69   20.69   48.86   88.08],hss2: [  67.39   24.71   46.56   49.19] cm: [[1330, 136, 112, 28], [192, 167, 188, 51], [11, 34, 365, 181], [0, 0, 4, 149]])","Metric(avg tss:  22.04, tss: [  47.64   -2.00    6.60   35.93],hss2: [  25.22   -3.07    1.31    0.31] cm: [[143771, 7089, 37276, 86106], [2723, 270, 13750, 33966], [0, 0, 1270, 4419], [0, 0, 144, 401]])"
"train(n)[1600, 1200, 400, 80]__batchNone_model[128, 128, 128][32, 0]_avg_do[0.4, 0.0]_lr[0.01]_multi",0,,,"[1600, 1200, 400, 80]","[128, 128, 128]","[32, 0]","[0.4, 0.0]",avg,,0.01,"Metric(avg tss:  56.76, tss: [  66.92   35.72   47.09   77.30],hss2: [  66.90   37.71   41.34   43.42] cm: [[1372, 205, 36, 9], [289, 600, 236, 72], [4, 92, 215, 67], [0, 3, 12, 68]])","Metric(avg tss:  27.25, tss: [  46.81   40.14    9.30   12.74],hss2: [  25.74   20.46   12.68    5.02] cm: [[151731, 121859, 440, 212], [4782, 43233, 1363, 1331], [68, 4446, 565, 610], [0, 233, 239, 73]])"
"train(n)[1200, 300, 600, 160]__batchNone_model[16, 64, 16][16, 8]_0_do[0.6000000000000001, 0.0]_lr[0.01]_multi",0,,,"[1200, 300, 600, 160]","[16, 64, 16]","[16, 8]","[0.6000000000000001, 0.0]",0,,0.01,"Metric(avg tss:  57.43, tss: [  77.48   13.89   57.82   80.53],hss2: [  77.68   18.02   59.08   57.36] cm: [[1088, 43, 41, 9], [130, 54, 99, 15], [28, 40, 420, 134], [0, 0, 19, 140]])","Metric(avg tss:  0.28, tss: [   9.79  -13.94   21.59  -16.32],hss2: [   3.75  -12.30    8.79   -0.09] cm: [[40079, 62817, 11557, 159789], [2686, 4302, 9110, 34611], [64, 80, 1595, 3950], [0, 0, 307, 238]])"
"train(n)[800, 1200, 600, 120]__batchNone_model[64, 16, 64][32, 32]_avg_do[0.6000000000000001, 0.2]_lr[0.01]_multi",0,,,"[800, 1200, 600, 120]","[64, 16, 64]","[32, 32]","[0.6000000000000001, 0.2]",avg,,0.01,"Metric(avg tss:  57.47, tss: [  71.26   40.78   52.37   65.49],hss2: [  66.24   41.91   51.54   47.90] cm: [[691, 94, 7, 1], [296, 666, 201, 45], [10, 122, 381, 84], [0, 1, 35, 86]])","Metric(avg tss:  9.67, tss: [  18.05  -14.24   27.20    7.68],hss2: [   7.11   -8.99    3.06    0.14] cm: [[52501, 109143, 66380, 46218], [625, 12735, 27239, 10110], [0, 1095, 3188, 1406], [0, 152, 256, 137]])"
"train(n)[800, 1200, 800, 160]__batch128_model[64, 32, 32][16, 0]_avg_do[0.6000000000000001, 0.0]_lr[0.01]_multi",0,128.0,,"[800, 1200, 800, 160]","[64, 32, 32]","[16, 0]","[0.6000000000000001, 0.0]",avg,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  48.76, tss: [  66.82   39.52   46.59   42.12],hss2: [  71.97   40.06   41.89   39.71] cm: [[549, 219, 20, 0], [62, 747, 406, 15], [0, 141, 544, 94], [0, 7, 81, 75]])","Metric(avg tss:  49.60, tss: [  67.06   41.07   60.09   30.20],hss2: [  45.19   28.95   24.66   15.11] cm: [[201097, 67798, 5267, 80], [3555, 33341, 13009, 804], [12, 1350, 3743, 584], [0, 75, 303, 167]])"
